file,chunk_index,start_token,end_token,agent_text_len,agent_duration_ms,cross_entropy_baseline_bits,cross_entropy_conditioned_bits,bits_saved,percent_saved,agent_calls,gate,candidate_id,budget_id,gate_bits,price_transcript_bits,price_pointer_bits,tool_id_best,tool_snapshot_id,args_hash,output_hash,domain,agent_id,toolset_id,run_id,chunk_id
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,1,0,511,3095,74183,1804.713036,816.903756,987.809280,54.734978,15,1,0,3,5,12112,31,cand_0_bud_3,snap_1,401ef89d1e9ff13ef7f13e40569eb6bf,401ef89d1e9ff13ef7f13e40569eb6bf,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:1
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,2,511,1023,539,43021,1826.604810,1528.940922,297.663888,16.296020,18,1,0,2,5,2880,31,cand_0_bud_2,snap_2,a2ead04f9dd99773459f0e98f89b47d9,a2ead04f9dd99773459f0e98f89b47d9,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:2
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,3,1023,1535,578,36255,1735.285806,1512.880933,222.404873,12.816613,15,1,0,2,5,2784,31,cand_0_bud_2,snap_3,71af8f82d709a9946ceaa8598553e6b0,71af8f82d709a9946ceaa8598553e6b0,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:3
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,4,1535,2047,1177,40528,1773.372204,868.398362,904.973842,51.031241,19,1,0,3,5,5368,31,cand_0_bud_3,snap_4,66e422c7d3827a0691837bbf3593cad7,66e422c7d3827a0691837bbf3593cad7,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:4
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,5,2047,2559,933,90796,1653.678000,1176.479239,477.198761,28.856813,26,1,0,2,5,4032,31,cand_0_bud_2,snap_5,1029756f54517a79c0f0d7aeb6bd011d,1029756f54517a79c0f0d7aeb6bd011d,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:5
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,6,2559,3071,846,112095,1869.158861,1290.974607,578.184254,30.932858,34,1,0,2,5,4104,31,cand_0_bud_2,snap_6,273a6d3d8b656e84347f43fcc37ac59b,273a6d3d8b656e84347f43fcc37ac59b,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:6
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,7,3071,3583,507,55221,1861.572416,1901.849552,-40.277137,-2.163608,20,0,3,0,0,2776,31,none,snap_7,8f0cca559ff485170f7cb2d6121a036a,8f0cca559ff485170f7cb2d6121a036a,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:7
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,8,3583,4095,1243,54469,1871.381624,953.972107,917.409517,49.023112,21,1,0,3,5,5200,31,cand_0_bud_3,snap_8,53f9aba4d93186a83875d5080a074606,53f9aba4d93186a83875d5080a074606,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:8
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,9,4095,4607,1097,102311,1834.570243,1044.492570,790.077674,43.066090,12,1,0,3,5,4928,31,cand_0_bud_3,snap_9,9f2fb310d9fb97603803b8c379b8b001,9f2fb310d9fb97603803b8c379b8b001,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:9
C:\Users\Noah\Documents\business\resumeportfolio\candlezip\final_bench\cantrbry\alice29.txt,10,4607,5119,1000,0,1724.776464,1724.776464,0.000000,0.000000,6,0,2,0,0,4432,31,none,snap_10,4e9d46424c6739860a857ae6bc9a06be,4e9d46424c6739860a857ae6bc9a06be,cantrbry,agent_v2,policy_aligned,20251003_043406,alice29:10
