file,chunk_index,start_token,end_token,agent_text_len,agent_duration_ms,cross_entropy_baseline_bits,cross_entropy_conditioned_bits,bits_saved,percent_saved,agent_calls,gate,candidate_id,budget_id,gate_bits,price_transcript_bits,price_pointer_bits,tool_id_best,tool_snapshot_id,args_hash,output_hash,domain,agent_id,toolset_id,run_id,chunk_id
.\final_bench\enwik8_samples\enwik8_128kb_0,1,0,511,737,59083,767.474238,716.988493,50.485745,6.578168,23,1,0,1,5,3496,31,cand_0_bud_1,snap_1,2fc74406330a2029cc13259e1c0bf2c5,2fc74406330a2029cc13259e1c0bf2c5,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:1
.\final_bench\enwik8_samples\enwik8_128kb_0,2,511,1023,138228,431072,892.473664,928.124657,-35.650993,-3.994627,18,0,0,1,0,61056,31,none,snap_2,7f215c85b75f8695ce0a6749ef5608f3,7f215c85b75f8695ce0a6749ef5608f3,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:2
.\final_bench\enwik8_samples\enwik8_128kb_0,3,1023,1535,257010,370405,1584.000855,1467.907613,116.093243,7.329115,24,1,0,3,5,178152,31,cand_0_bud_3,snap_3,04603ed706c0ce3b7188bd43fa5ab386,04603ed706c0ce3b7188bd43fa5ab386,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:3
.\final_bench\enwik8_samples\enwik8_128kb_0,4,1535,2047,19996,136236,1506.857631,1554.394517,-47.536886,-3.154703,39,0,3,0,0,42656,31,none,snap_4,6a98acf69d8951008ab4b05f79d72c75,6a98acf69d8951008ab4b05f79d72c75,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:4
.\final_bench\enwik8_samples\enwik8_128kb_0,5,2047,2559,1411,714035,1516.435359,1570.227944,-53.792586,-3.547305,45,0,3,0,0,6056,31,none,snap_5,94a956d79074da4d7d1650bf616ae3d2,94a956d79074da4d7d1650bf616ae3d2,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:5
.\final_bench\enwik8_samples\enwik8_128kb_0,6,2559,3071,886,37599,1656.470406,1107.629851,548.840554,33.133134,15,1,0,2,5,4160,31,cand_0_bud_2,snap_6,771c42834678633b93a1a1e3caa4fe65,771c42834678633b93a1a1e3caa4fe65,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:6
.\final_bench\enwik8_samples\enwik8_128kb_0,7,3071,3583,204699,405341,1647.917015,1676.188934,-28.271920,-1.715615,19,0,0,1,0,20200,31,none,snap_7,be299fd3ce2cbc9ded23e5fac74f82b0,be299fd3ce2cbc9ded23e5fac74f82b0,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:7
.\final_bench\enwik8_samples\enwik8_128kb_0,8,3583,4095,1724,74171,1882.395928,689.994978,1192.400950,63.344854,21,1,0,3,5,7344,31,cand_0_bud_3,snap_8,7503652c255e25b26eef425c4542a029,7503652c255e25b26eef425c4542a029,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:8
.\final_bench\enwik8_samples\enwik8_128kb_0,9,4095,4607,19000,67753,1819.152521,717.645210,1101.507312,60.550575,12,1,0,3,5,49176,31,cand_0_bud_3,snap_9,8f07ea6104c0a552ab517a09b00e3175,8f07ea6104c0a552ab517a09b00e3175,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:9
.\final_bench\enwik8_samples\enwik8_128kb_0,10,4607,5119,0,38252,1780.898816,1780.898816,0.000000,0.000000,6,0,0,0,0,0,0,none,snap_10,af1349b9f5f9a1a6a0404dea36dcc949,af1349b9f5f9a1a6a0404dea36dcc949,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:10
.\final_bench\enwik8_samples\enwik8_128kb_0,11,5119,5631,1169,23714,1855.712050,1849.526560,6.185490,0.333322,6,1,0,3,5,5568,31,cand_0_bud_3,snap_11,4ff5f29c45570a311d2fcd119c0e7143,4ff5f29c45570a311d2fcd119c0e7143,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:11
.\final_bench\enwik8_samples\enwik8_128kb_0,12,5631,6143,712,62583,1743.616182,1770.288475,-26.672292,-1.529711,27,0,3,0,0,3464,31,none,snap_12,6a6689fa5e98557374b2903c279cbb6c,6a6689fa5e98557374b2903c279cbb6c,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:12
.\final_bench\enwik8_samples\enwik8_128kb_0,13,6143,6655,712,31675,1711.880559,1722.481498,-10.600938,-0.619257,6,0,3,0,0,3464,31,none,snap_13,6a6689fa5e98557374b2903c279cbb6c,6a6689fa5e98557374b2903c279cbb6c,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:13
.\final_bench\enwik8_samples\enwik8_128kb_0,14,6655,7167,1169,21328,1710.545721,1726.988967,-16.443246,-0.961287,10,0,3,0,0,5568,31,none,snap_14,4ff5f29c45570a311d2fcd119c0e7143,4ff5f29c45570a311d2fcd119c0e7143,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:14
.\final_bench\enwik8_samples\enwik8_128kb_0,15,7167,7679,1137,34668,1924.026585,1966.901232,-42.874647,-2.228381,6,0,3,1,0,5512,31,none,snap_15,95cd38d135ff0ae382da94288a55dca9,95cd38d135ff0ae382da94288a55dca9,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:15
.\final_bench\enwik8_samples\enwik8_128kb_0,16,7679,8191,806,102340,2031.197131,2075.456572,-44.259441,-2.178983,44,0,0,2,0,3928,31,none,snap_16,c4ad0bdc5ae03d2e4ae3efde6b320c29,c4ad0bdc5ae03d2e4ae3efde6b320c29,enwik8_samples,agent_v2,policy_aligned,20251003_215646,enwik8_128kb_0:16
