file,chunk_index,start_token,end_token,agent_text_len,agent_duration_ms,cross_entropy_baseline_bits,cross_entropy_conditioned_bits,bits_saved,percent_saved,agent_calls,gate
.\benchmarks\arxivbenchmark,1,0,512,4214,56724,1563.964602,1562.632272,1.332330,0.085189,8,1
.\benchmarks\arxivbenchmark,2,512,1024,9083,29495,1280.740976,1285.102894,0.000000,0.000000,5,0
.\benchmarks\arxivbenchmark,3,1024,1536,7649,31223,1994.732305,1978.907516,15.824788,0.793329,5,1
.\benchmarks\arxivbenchmark,4,1536,2048,6080,34376,1866.113460,1878.890185,0.000000,0.000000,2,0
.\benchmarks\arxivbenchmark,5,2048,2560,1263,22750,2075.538950,2094.258452,0.000000,0.000000,2,0
.\benchmarks\arxivbenchmark,6,2560,3072,4645,59874,1380.494611,1410.161548,0.000000,0.000000,16,0
.\benchmarks\arxivbenchmark,7,3072,3584,238,34069,1839.506039,1833.748738,5.757301,0.312981,13,1
.\benchmarks\arxivbenchmark,8,3584,4096,0,0,1676.022461,1676.022461,0.000000,0.000000,26,0
.\benchmarks\arxivbenchmark,9,4096,4608,0,0,1762.804010,1762.804010,0.000000,0.000000,24,0
.\benchmarks\arxivbenchmark,10,4608,5120,1836,31425,1559.230478,1580.782222,0.000000,0.000000,2,0
.\benchmarks\arxivbenchmark,11,5120,5632,2909,40592,1091.647346,1034.235133,57.412213,5.259227,2,1
.\benchmarks\arxivbenchmark,12,5632,6144,1806,53937,735.408565,801.454671,0.000000,0.000000,6,0
.\benchmarks\arxivbenchmark,13,6144,6656,311,58913,874.349907,866.472023,7.877883,0.900999,24,1
.\benchmarks\arxivbenchmark,14,6656,7168,1216,51926,631.448571,689.125498,0.000000,0.000000,8,0
.\benchmarks\arxivbenchmark,15,7168,7680,2180,34156,1487.155943,1494.694342,0.000000,0.000000,2,0
.\benchmarks\arxivbenchmark,16,7680,8192,1233,22473,1273.391051,1245.963436,27.427615,2.153904,5,1
